weight,round,result_type,winner_name,winner_team,winner_conf,winner_seed,winner_tpar_v1,winner_tpar_v3b,loser_name,loser_team,loser_conf,loser_seed,loser_tpar_v1,loser_tpar_v3b
184,C_R1,Dec,Nick Fox,Northern Iowa,Big 12,29,1.3413,1.5137,Isaac Dean,Iowa State,Big 12,13,2.2986,2.5376
184,C_R1,Dec,Jared McGill,Edinboro,MAC,19,2.6021,2.5142,Sam Goin,Indiana,Big Ten,33,1.2695,1.5200
184,C_R1,Dec,Shane Cartagena-Walsh,Rutgers,Big Ten,11,2.2006,2.3088,Aidan Brenot,North Dakota State,Big 12,27,1.1354,1.3104
184,C_R1,Dec,Chase Kranitz,Pittsburgh,ACC,26,1.0169,1.0958,Ceasar Garza,Cal Poly,Pac-12,23,1.6183,1.5644
184,C_R1,Dec,Jake Dailey,North Carolina,ACC,18,2.3830,2.4757,Mahonri Rushton,Northern Colorado,Big 12,31,-1.0088,-0.8188
184,C_PIG,TB-1,Sam Goin,Indiana,Big Ten,33,1.2695,1.5200,Tyler Bienus,Bucknell,EIWA,30,0.7897,0.8282
184,R16,MD,Rocco Welsh,Penn State,Big Ten,1,4.8655,5.1180,Rylan Rogers,Lehigh,EIWA,16,1.8028,1.8428
184,R16,MD,Silas Allred,Nebraska,Big Ten,8,2.5300,2.7592,Chris Moore,Illinois,Big Ten,9,1.7564,1.9384
184,R16,MD,Brock Mantanona,Michigan,Big Ten,5,2.8740,3.0460,Dylan Fishback,Ohio State,Big Ten,12,2.8154,3.0675
184,R16,Dec,Brian Soldano,Oklahoma,Big 12,20,2.5215,2.7720,James Conway,Franklin and Marshall,EIWA,4,3.3303,3.3435
184,R16,Dec,Max McEnelly,Minnesota,Big Ten,3,4.2990,4.5790,Jaden Bullock,Virginia Tech,ACC,14,1.6179,1.6652
184,R16,Dec,Eddie Neitenbach,Wyoming,Big 12,6,3.0196,3.2774,Zack Ryder,Oklahoma State,Big 12,22,1.5560,1.7860
184,R16,Dec,Angelo Ferrari,Iowa,Big Ten,7,3.8292,4.0900,Caleb Campos,American,EIWA,10,2.2734,2.2880
184,R16,Dec,Aeoden Sinclair,Missouri,Big 12,2,4.4185,4.6393,Sal Perrine,Ohio,MAC,15,2.0200,2.0337
184,R32,TF,Rocco Welsh,Penn State,Big Ten,1,4.8655,5.1180,Caleb Uhlenhopp,Utah Valley,Big 12,32,0.4330,0.6570
184,R32,Dec,Rylan Rogers,Lehigh,EIWA,16,1.8028,1.8428,Ian Bush,West Virginia,Big 12,17,2.0300,2.1507
184,R32,MD,Chris Moore,Illinois,Big Ten,9,1.7564,1.9384,Joe Curtis,Columbia,CAA,24,2.9968,3.0220
184,R32,Dec,Silas Allred,Nebraska,Big Ten,8,2.5300,2.7592,Malachi DuVall,George Mason,MAC,25,2.4348,2.3638
184,R32,Dec,Brock Mantanona,Michigan,Big Ten,5,2.8740,3.0460,Abraham Wojcikiewicz,Stanford,ACC,28,1.1136,1.2311
